StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Where did you live before you began your degree at Teachers College? - City,Where did you live before you began your degree at Teachers College? - Country,"How much time did you spend this week in hours: - Coding (R, Java, SPSS, etc)",How much time did you spend this week in hours: - Writing papers for class,How much time did you spend this week in hours: - Reading/videos for class,How much time did you spend this week in hours: - Watching videos for fun,How much time did you spend this week in hours: - Cooking,How much time did you spend this week in hours: - Using social media,"How much time did you spend this week in hours: - Social activities (movies, restaurants, etc)"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}"
2018-10-23 13:42:16,2018-10-23 13:42:40,1,,100,23,1,2018-10-23 13:42:40,R_21EsZW7q5FLT7Fj,,,,,40.7975006103515625,-73.96829986572265625,preview,EN,Melbourne,Australia,19,19,20,11,32,18,18
2018-10-23 16:07:30,2018-10-23 16:08:27,0,128.59.82.245,100,56,1,2018-10-23 16:08:27,R_1M6ZheIhQSiDUL7,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Boston,US,6,30,5,11,5,3,4
2018-10-23 16:07:32,2018-10-23 16:08:32,0,128.59.82.245,100,60,1,2018-10-23 16:08:32,R_3fjF5049FcjzSpd,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,"Columbus, OH",U.S,10,5,10,12,4,6,12
2018-10-23 16:07:32,2018-10-23 16:08:33,0,128.59.82.245,100,61,1,2018-10-23 16:08:33,R_ReIR1Kuu1qrkGrv,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Los Angeles,USA,10,5,15,20,5,10,15
2018-10-23 16:07:33,2018-10-23 16:08:37,0,128.59.82.245,100,63,1,2018-10-23 16:08:37,R_sBYuxcwF4lWwZot,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Berkeley,USA,4,0,4,3,2,2,2
2018-10-23 16:07:39,2018-10-23 16:08:48,0,128.59.82.245,100,69,1,2018-10-23 16:08:48,R_Z2KWYAq0YbcprGN,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,San Francisco,USA,10,6,4,5,4,15,30
2018-10-23 16:07:43,2018-10-23 16:08:51,0,128.59.82.245,100,68,1,2018-10-23 16:08:51,R_3ReGlpaHUnsz0yi,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Jakarta,Indonesia,15,0,7,60,,20,14
2018-10-23 16:07:34,2018-10-23 16:08:55,0,128.59.82.245,100,81,1,2018-10-23 16:08:56,R_cHFQHyroDE4GSbL,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Shanghai,China,6,6,6,14,6,29,30
